genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,"Roddy Ricch, DaBaby",ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,99,0.247,0.746,181733,0.69,0.0,B,0.10099999999999999,-7.956,Major,0.16399999999999998,89.977,4/4,0.4970000000000001
Pop,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,100,0.00146,0.514,200040,0.73,9.54e-05,C#,0.0897,-5.934,Major,0.0598,171.005,4/4,0.33399999999999996
Pop,"Imanbek, SAINt JHN",Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,97,0.0167,0.77,176840,0.7240000000000001,0.0107,G#,0.353,-5.484,Major,0.0495,121.975,4/4,0.898
Pop,"Ariana Grande, Lady Gaga",Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,88,0.021,0.672,182200,0.855,0.0,A,0.32299999999999995,-3.764,Major,0.0397,123.056,4/4,0.6459999999999999
Pop,"beabadoobee, Powfu",death bed (coffee for your head) (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,97,0.731,0.726,173333,0.431,0.0,G#,0.696,-8.765,Minor,0.135,144.026,4/4,0.348
Pop,Drake,Toosie Slide,466cKvZn1j45IpxDdYZqdA,87,0.289,0.83,247059,0.49,3.04e-06,C#,0.113,-8.82,Minor,0.209,81.604,4/4,0.845
Pop,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,91,0.122,0.5479999999999999,174000,0.816,0.0,C,0.335,-4.209,Major,0.0465,95.39,4/4,0.557
Pop,Tones And I,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,72,0.688,0.825,209755,0.593,0.000161,F#,0.17,-6.401,Minor,0.0988,98.07799999999999,4/4,0.54
Pop,Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,89,0.0125,0.794,183290,0.7929999999999999,0.0,B,0.0952,-4.521,Minor,0.0842,123.941,4/4,0.677
Pop,"Jason Derulo, Jawsh 685",Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,81,0.23399999999999999,0.767,171375,0.48100000000000004,0.0,C,0.26899999999999996,-8.52,Minor,0.0803,150.076,4/4,0.7609999999999999
Pop,"Emilee, Surf Mesa",ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,95,0.0686,0.674,176547,0.774,0.0018800000000000002,B,0.39299999999999996,-7.567,Minor,0.0892,112.05,4/4,0.33
Pop,StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,94,0.7490000000000001,0.728,147800,0.431,0.0,F#,0.0996,-9.966000000000001,Minor,0.0622,130.02200000000002,4/4,0.629
Pop,Dua Lipa,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,90,0.16699999999999998,0.73,221820,0.7290000000000001,1.39e-06,E,0.349,-3.4339999999999997,Minor,0.0886,113.012,4/4,0.467
Pop,"A7S, Topic",Breaking Me,3H7ihDc1dqLriiWXwsc2po,93,0.223,0.789,166794,0.72,0.0,G#,0.129,-5.652,Minor,0.218,122.031,4/4,0.664
Pop,Lil Mosey,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,88,0.207,0.774,162547,0.5539999999999999,0.0,C,0.132,-7.909,Major,0.0383,99.03399999999999,4/4,0.349
Pop,"Gus Dapperton, BENEE",Supalonely,4nK5YrxbMGZstTLbvj6Gxw,95,0.305,0.863,223480,0.631,3.04e-05,G,0.12300000000000001,-4.689,Major,0.0534,128.977,4/4,0.8170000000000001
Pop,Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I,95,0.10400000000000001,0.8959999999999999,196653,0.586,0.0,A#,0.79,-6.687,Minor,0.0559,116.971,4/4,0.642
Pop,"J. Rey Soul, Ozuna, Black Eyed Peas",MAMACITA,24IgCW19L8lXKyFZwzFtD3,32,0.19,0.88,251429,0.626,0.000755,D,0.094,-7.062,Major,0.0473,105.01,4/4,0.441
