popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
99,0.247,0.746,181733,0.69,0.0,0.101,-7.956,0.16399999999999998,89.977,0.4970000000000001
100,0.00146,0.514,200040,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334
97,0.0167,0.77,176840,0.7240000000000001,0.0107,0.353,-5.484,0.0495,121.975,0.898
88,0.021,0.672,182200,0.855,0.0,0.32299999999999995,-3.764,0.0397,123.056,0.6459999999999999
97,0.731,0.726,173333,0.431,0.0,0.696,-8.765,0.135,144.026,0.348
87,0.289,0.83,247059,0.49,3.04e-06,0.113,-8.82,0.209,81.604,0.845
91,0.122,0.5479999999999999,174000,0.816,0.0,0.335,-4.209,0.0465,95.39,0.557
72,0.688,0.825,209755,0.593,0.000161,0.17,-6.401,0.0988,98.078,0.54
89,0.0125,0.794,183290,0.7929999999999999,0.0,0.0952,-4.521,0.0842,123.941,0.677
81,0.234,0.767,171375,0.481,0.0,0.269,-8.52,0.0803,150.076,0.7609999999999999
95,0.0686,0.674,176547,0.774,0.00188,0.393,-7.567,0.0892,112.05,0.33
94,0.7490000000000001,0.728,147800,0.431,0.0,0.0996,-9.966,0.0622,130.02200000000002,0.629
90,0.16699999999999998,0.73,221820,0.7290000000000001,1.39e-06,0.349,-3.434,0.0886,113.012,0.467
93,0.223,0.789,166794,0.72,0.0,0.129,-5.652,0.218,122.031,0.664
88,0.207,0.774,162547,0.5539999999999999,0.0,0.132,-7.909,0.0383,99.034,0.349
95,0.305,0.863,223480,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,0.8170000000000001
95,0.104,0.8959999999999999,196653,0.586,0.0,0.79,-6.687,0.0559,116.971,0.642
32,0.19,0.88,251429,0.626,0.000755,0.094,-7.062,0.0473,105.01,0.441
94,0.223,0.597,228482,0.45,0.0,0.382,-6.658,0.0418,178.765,0.537
95,0.233,0.716,165978,0.537,0.0,0.157,-7.648,0.0514,129.97899999999998,0.28
94,0.0264,0.611,132303,0.688,0.0,0.251,-5.688,0.341,178.46200000000005,0.393
88,0.3,0.8059999999999999,212867,0.546,0.0,0.102,-6.6370000000000005,0.0575,147.986,0.8740000000000001
92,0.7509999999999999,0.501,182161,0.405,0.0,0.105,-5.6789999999999985,0.0319,109.891,0.446
93,0.183,0.878,158571,0.525,0.0,0.0714,-6.8320000000000025,0.0578,112.022,0.6940000000000001
92,0.016,0.8220000000000001,242001,0.743,0.0,0.127,-4.772,0.28,84.459,0.636
92,0.295,0.8029999999999999,200960,0.715,0.000134,0.0574,-3.28,0.298,101.085,0.574
83,0.123,0.784,159382,0.43,0.0,0.0887,-8.756,0.0364,127.087,0.236
93,0.256,0.787,237893,0.6729999999999999,3.57e-06,0.0904,-4.577,0.158,110.962,0.7859999999999999
88,0.3,0.815,345241,0.715,4.83e-06,0.091,-4.65,0.207,176.007,0.7859999999999999
91,0.00285,0.667,237520,0.7190000000000001,8.1e-05,0.0736,-5.371,0.0346,100.021,0.7170000000000001
78,0.125,0.805,184255,0.562,4.96e-06,0.14800000000000002,-3.117,0.105,172.09400000000005,0.767
93,0.192,0.695,215280,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.5529999999999999
92,0.021,0.86,172127,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,0.453
89,0.464,0.691,246000,0.765,3.29e-06,0.203,-4.727,0.111,174.021,0.855
92,0.017,0.923,139741,0.604,0.0,0.272,-6.671,0.245,145.062,0.826
92,0.0847,0.841,243837,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43
90,0.192,0.7759999999999999,129371,0.509,1.49e-06,0.115,-6.266,0.467,94.634,0.485
84,0.604,0.459,215107,0.575,0.0,0.0885,-4.8580000000000005,0.0573,111.881,0.183
92,0.0103,0.607,295177,0.8290000000000001,0.0,0.107,-4.074,0.379,96.172,0.685
91,0.612,0.68,179867,0.7290000000000001,0.0,0.224,-5.077,0.0475,123.97,0.446
79,0.344,0.58,199549,0.586,0.0,0.0755,-6.882999999999999,0.0357,147.988,0.507
85,0.0319,0.7440000000000001,202667,0.422,0.00011,0.11,-8.946,0.294,180.00599999999997,0.493
91,0.007759999999999999,0.63,172762,0.633,0.0,0.0541,-7.087999999999999,0.0457,93.995,0.452
88,0.0237,0.6759999999999999,207133,0.7709999999999999,7.000000000000003e-06,0.102,-3.675,0.0483,99.048,0.569
89,0.00775,0.638,162399,0.688,0.0,0.126,-4.056,0.0407,129.856,0.434
91,0.8370000000000001,0.764,189486,0.32,0.0,0.0822,-7.209,0.0546,91.019,0.575
92,0.0522,0.621,163636,0.601,0.0,0.46,-5.6160000000000005,0.14800000000000002,116.735,0.457
91,0.0546,0.598,175721,0.4270000000000001,5.83e-06,0.21,-8.764,0.0317,76.469,0.0605
83,0.0392,0.759,190800,0.5479999999999999,0.0,0.0828,-6.049,0.029,116.967,0.7490000000000001
79,0.067,0.795,237918,0.574,0.0,0.15,-6.903,0.487,142.053,0.537
39,0.147,0.6809999999999999,154000,0.5,0.0402,0.0735,-8.507,0.0256,107.016,0.33899999999999997
55,0.264,0.7140000000000001,282160,0.861,6.0899999999999996e-05,0.14800000000000002,-6.676,0.0394,96.09899999999999,0.813
24,0.381,0.778,199000,0.493,0.0304,0.11699999999999999,-10.189,0.0276,91.95,0.684
14,0.525,0.68,222772,0.434,0.17,0.0967,-10.024,0.0448,91.965,0.165
50,0.124,0.778,288200,0.7509999999999999,0.428,0.0733,-6.812,0.0434,139.97899999999998,0.9640000000000001
41,0.39799999999999996,0.64,152960,0.7240000000000001,0.0,0.0854,-4.428,0.0461,125.196,0.499
51,0.74,0.493,209613,0.193,0.00316,0.10099999999999999,-15.177,0.0436,134.009,0.305
28,0.0564,0.679,230475,0.48700000000000004,0.00015800000000000002,0.368,-8.673,0.0313,129.991,0.917
38,0.0889,0.659,200445,0.816,1.05e-05,0.193,-4.524,0.0274,124.932,0.8740000000000001
31,0.628,0.625,169653,0.81,0.69,0.0776,-8.689,0.0333,120.02600000000001,0.626
78,0.42200000000000004,0.6579999999999999,278180,0.294,5.2000000000000004e-05,0.0749,-8.533,0.0321,74.038,0.358
52,0.578,0.721,176640,0.897,1.18e-05,0.708,-7.401,0.0468,99.979,0.5870000000000001
68,0.723,0.212,191160,0.38299999999999995,0.0,0.299,-10.071,0.0347,173.79,0.452
25,0.8809999999999999,0.522,176102,0.163,8.69e-06,0.177,-13.878,0.040999999999999995,128.985,0.535
39,0.233,0.37,278453,0.86,0.000122,0.314,-3.463,0.033,80.648,0.7040000000000001
39,0.0715,0.57,182058,0.713,0.0,0.317,-6.415,0.0281,101.54,0.626
29,0.26,0.7509999999999999,335339,0.547,0.000174,0.251,-6.478,0.03,99.977,0.524
45,0.381,0.583,288427,0.682,1.3800000000000007e-05,0.32899999999999996,-5.825,0.0297,85.26299999999998,0.693
24,0.209,0.792,134440,0.624,1.69e-06,0.22,-6.888999999999999,0.042,120.051,0.735
81,0.652,0.38799999999999996,303373,0.33799999999999997,3.72e-06,0.248,-10.054,0.0328,177.78400000000005,0.47700000000000004
38,0.65,0.5579999999999999,222410,0.474,0.000134,0.171,-6.595,0.0462,120.787,0.27
28,0.499,0.625,204493,0.521,1.4599999999999999e-05,0.10400000000000001,-8.437000000000001,0.0719,130.645,0.53
50,0.986,0.601,281533,0.0481,6.8e-05,0.182,-22.113000000000003,0.0506,105.41799999999999,0.26899999999999996
43,0.643,0.376,331533,0.465,0.000239,0.132,-6.318,0.0265,131.534,0.46
30,0.34299999999999997,0.44299999999999995,301387,0.39799999999999996,2.13e-05,0.154,-13.157,0.10400000000000001,151.994,0.435
