const,acousticness,danceability,energy,instrumentalness,liveness,y_hat,y
1,0.247,0.746,0.69,0.0,0.10099999999999999,41.98892382845046,99
1,0.00146,0.514,0.73,9.54e-05,0.0897,43.840569562654515,100
1,0.0167,0.77,0.7240000000000001,0.0107,0.353,42.60903155986732,97
1,0.021,0.672,0.855,0.0,0.32299999999999995,42.01808372294958,88
1,0.731,0.726,0.431,0.0,0.696,28.07187942489357,97
1,0.289,0.83,0.49,3.04e-06,0.113,42.08299091038154,87
1,0.122,0.5479999999999999,0.816,0.0,0.335,39.433580752452045,91
1,0.688,0.825,0.593,0.000161,0.17,35.417834758878094,72
1,0.0125,0.794,0.7929999999999999,0.0,0.0952,45.802105027982485,89
1,0.23399999999999999,0.767,0.48100000000000004,0.0,0.26899999999999996,40.597744301560645,81
1,0.0686,0.674,0.774,0.0018800000000000002,0.39299999999999996,40.59321903919526,95
1,0.7490000000000001,0.728,0.431,0.0,0.0996,34.698536894920885,94
1,0.16699999999999998,0.73,0.7290000000000001,1.39e-06,0.349,40.14504299042987,90
1,0.223,0.789,0.72,0.0,0.129,42.33737802717149,93
1,0.207,0.774,0.5539999999999999,0.0,0.132,42.56592834193154,88
1,0.305,0.863,0.631,3.04e-05,0.12300000000000001,41.870951421906476,95
1,0.10400000000000001,0.8959999999999999,0.586,0.0,0.79,37.44586462100871,95
1,0.19,0.88,0.626,0.000755,0.094,44.03757903403309,32
1,0.223,0.597,0.45,0.0,0.382,38.122556961260194,94
1,0.233,0.716,0.537,0.0,0.157,41.44525620238443,95
1,0.0264,0.611,0.688,0.0,0.251,42.42848077227324,94
1,0.3,0.8059999999999999,0.546,0.0,0.102,41.805714412182475,88
1,0.7509999999999999,0.501,0.405,0.0,0.105,32.811266214201545,92
1,0.183,0.878,0.525,0.0,0.0714,44.47704072169596,93
1,0.016,0.8220000000000001,0.743,0.0,0.127,45.65276662634418,92
1,0.295,0.8029999999999999,0.715,0.000134,0.0574,42.218779652696014,92
1,0.12300000000000001,0.784,0.43,0.0,0.0887,44.49259431516603,83
1,0.256,0.787,0.6729999999999999,3.57e-06,0.0904,42.322190797458184,93
1,0.3,0.815,0.715,4.83e-06,0.091,41.854265900067574,88
1,0.00285,0.667,0.7190000000000001,8.1e-05,0.0736,45.24135237512801,91
1,0.125,0.805,0.562,4.96e-06,0.14800000000000002,43.830286324631885,78
1,0.192,0.695,0.762,0.00244,0.0863,42.48925703403048,93
1,0.021,0.86,0.758,6.54e-05,0.344,43.3683405835177,92
1,0.46399999999999997,0.691,0.765,3.29e-06,0.203,37.10994035549821,89
1,0.017,0.9229999999999999,0.604,0.0,0.272,44.899245970570405,92
1,0.0847,0.841,0.728,0.0,0.149,44.55299016398273,92
1,0.192,0.7759999999999999,0.509,1.49e-06,0.115,43.038870864844846,90
1,0.604,0.45899999999999996,0.575,0.0,0.0885,34.67855069206924,84
1,0.0103,0.607,0.8290000000000001,0.0,0.107,44.16821617602833,92
1,0.612,0.68,0.7290000000000001,0.0,0.22399999999999998,34.632210775798804,91
1,0.344,0.58,0.586,0.0,0.0755,39.61698467650696,79
1,0.0319,0.7440000000000001,0.42200000000000004,0.00011,0.11,45.27497729443147,85
1,0.007759999999999999,0.63,0.633,0.0,0.0541,45.174142498550566,91
1,0.0237,0.6759999999999999,0.7709999999999999,7.000000000000003e-06,0.102,44.63292627137903,88
1,0.00775,0.638,0.688,0.0,0.126,44.360538589412485,89
1,0.8370000000000001,0.764,0.32,0.0,0.0822,33.99038027395843,91
1,0.0522,0.621,0.601,0.0,0.46,39.79656028050593,92
1,0.0546,0.598,0.4270000000000001,5.83e-06,0.21,42.61390789377462,91
1,0.0392,0.759,0.5479999999999999,0.0,0.0828,45.48942054803503,83
1,0.067,0.795,0.574,0.0,0.15,44.57058874278229,79
1,0.147,0.6809999999999999,0.5,0.0402,0.0735,43.32083514125923,39
1,0.264,0.7140000000000001,0.861,6.09e-05,0.14800000000000002,40.788045256872806,55
1,0.381,0.778,0.493,0.0304,0.117,40.18255064225029,24
1,0.525,0.68,0.434,0.17,0.0967,37.194989549824726,14
1,0.124,0.778,0.7509999999999999,0.428,0.0733,43.19259204268068,50
1,0.398,0.64,0.7240000000000001,0.0,0.0854,39.06554971438153,41
1,0.74,0.493,0.193,0.00316,0.101,33.13555671799956,51
1,0.0564,0.679,0.487,0.00015800000000000002,0.368,41.36104507233319,28
1,0.0889,0.659,0.816,1.05e-05,0.193,42.44739487327343,38
1,0.628,0.625,0.81,0.69,0.0776,33.751301795142844,31
1,0.422,0.6579999999999999,0.294,5.2e-05,0.0749,39.35980776075975,78
1,0.578,0.721,0.897,1.18e-05,0.708,29.73201442516966,52
1,0.723,0.212,0.383,0.0,0.299,28.691186836883414,68
1,0.8809999999999999,0.522,0.163,8.69e-06,0.177,30.4502769275597,25
1,0.233,0.37,0.86,0.000122,0.314,36.57545137456605,39
1,0.0715,0.57,0.713,0.0,0.317,40.65268919460533,39
1,0.26,0.7509999999999999,0.547,0.000174,0.251,40.23500088234417,29
1,0.381,0.583,0.682,1.3800000000000007e-05,0.329,36.088166218775015,45
1,0.209,0.792,0.624,1.69e-06,0.22,41.60388089667505,24
1,0.652,0.388,0.338,3.72e-06,0.248,31.77485307733179,81
1,0.65,0.5579999999999999,0.474,0.000134,0.171,33.932691515439664,38
1,0.499,0.625,0.521,1.46e-05,0.104,37.42412249767617,28
