const,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,y_hat,y
1,0.247,0.746,0.0,0.10099999999999999,-7.956,0.16399999999999998,89.977,0.4970000000000001,181733,42.77715258363156,99
1,0.00146,0.514,9.54e-05,0.0897,-5.934,0.0598,171.005,0.33399999999999996,200040,45.04926967517797,100
1,0.0167,0.77,0.0107,0.353,-5.484,0.0495,121.975,0.898,176840,39.75856534000243,97
1,0.021,0.672,0.0,0.32299999999999995,-3.764,0.0397,123.056,0.6459999999999999,182200,42.6730948910727,88
1,0.731,0.726,0.0,0.696,-8.765,0.135,144.026,0.348,173333,34.32416316628738,97
1,0.289,0.83,3.04e-06,0.113,-8.82,0.209,81.604,0.845,247059,38.36824080805642,87
1,0.122,0.5479999999999999,0.0,0.335,-4.209,0.0465,95.39,0.557,174000,40.491903766645486,91
1,0.688,0.825,0.000161,0.17,-6.401,0.0988,98.07799999999999,0.54,209755,39.91708975840648,72
1,0.0125,0.794,0.0,0.0952,-4.521,0.0842,123.941,0.677,183290,45.60926150070237,89
1,0.23399999999999999,0.767,0.0,0.26899999999999996,-8.52,0.0803,150.076,0.7609999999999999,171375,38.3450432174812,81
1,0.0686,0.674,0.0018800000000000002,0.39299999999999996,-7.567,0.0892,112.05,0.33,176547,43.87464620495115,95
1,0.7490000000000001,0.728,0.0,0.0996,-9.966000000000001,0.0622,130.02200000000002,0.629,147800,35.28321902532425,94
1,0.16699999999999998,0.73,1.39e-06,0.349,-3.4339999999999997,0.0886,113.012,0.467,221820,44.4079419441222,90
1,0.223,0.789,0.0,0.129,-5.652,0.218,122.031,0.664,166794,41.633021755523096,93
1,0.207,0.774,0.0,0.132,-7.909,0.0383,99.03399999999999,0.349,162547,46.42589374777459,88
1,0.305,0.863,3.04e-05,0.12300000000000001,-4.689,0.0534,128.977,0.8170000000000001,223480,42.01582877599674,95
1,0.10400000000000001,0.8959999999999999,0.0,0.79,-6.687,0.0559,116.971,0.642,196653,40.48157045122169,95
1,0.19,0.88,0.000755,0.094,-7.062,0.0473,105.01,0.441,251429,48.0526174862591,32
1,0.223,0.597,0.0,0.382,-6.6579999999999995,0.0418,178.765,0.537,228482,38.91485283296345,94
1,0.233,0.716,0.0,0.157,-7.648,0.0514,129.97899999999998,0.28,165978,45.78876442376459,95
1,0.0264,0.611,0.0,0.251,-5.688,0.341,178.46200000000005,0.39299999999999996,132303,41.815858648327946,94
1,0.3,0.8059999999999999,0.0,0.102,-6.6370000000000005,0.0575,147.986,0.8740000000000001,212867,39.40053182022653,88
1,0.7509999999999999,0.501,0.0,0.105,-5.678999999999999,0.0319,109.891,0.446,182161,36.27384463931324,92
1,0.183,0.878,0.0,0.0714,-6.8320000000000025,0.0578,112.022,0.6940000000000001,158571,44.454640062709444,93
