const,acousticness,danceability,instrumentalness,liveness,speechiness,tempo,y_hat,y
1,0.247,0.746,0.0,0.10099999999999999,0.16399999999999998,89.977,41.86568840514108,99
1,0.00146,0.514,9.54e-05,0.0897,0.0598,171.005,43.08501587217297,100
1,0.0167,0.77,0.0107,0.353,0.0495,121.975,43.58826680713728,97
1,0.021,0.672,0.0,0.32299999999999995,0.0397,123.056,42.95878980586247,88
1,0.731,0.726,0.0,0.696,0.135,144.026,29.87718926768663,97
1,0.289,0.83,3.04e-06,0.113,0.209,81.604,41.74089814611586,87
1,0.122,0.5479999999999999,0.0,0.335,0.0465,95.39,40.554885564589725,91
1,0.688,0.825,0.000161,0.17,0.0988,98.07799999999999,36.440415780965445,72
1,0.0125,0.794,0.0,0.0952,0.0842,123.941,45.7751145952344,89
1,0.23399999999999999,0.767,0.0,0.26899999999999996,0.0803,150.076,40.85968709322937,81
1,0.0686,0.674,0.0018800000000000002,0.39299999999999996,0.0892,112.05,41.50154345586502,95
1,0.7490000000000001,0.728,0.0,0.0996,0.0622,130.02200000000002,35.24859671241995,94
1,0.16699999999999998,0.73,1.39e-06,0.349,0.0886,113.012,41.056024098384796,90
1,0.223,0.789,0.0,0.129,0.218,122.031,41.66858554809188,93
1,0.207,0.774,0.0,0.132,0.0383,99.03399999999999,43.21407128323538,88
1,0.305,0.863,3.04e-05,0.12300000000000001,0.0534,128.977,42.39558160957303,95
1,0.10400000000000001,0.8959999999999999,0.0,0.79,0.0559,116.971,39.990009010788306,95
1,0.19,0.88,0.000755,0.094,0.0473,105.01,44.62258117773525,32
1,0.223,0.597,0.0,0.382,0.0418,178.765,38.48649355648515,94
1,0.233,0.716,0.0,0.157,0.0514,129.97899999999998,41.72505243551321,95
1,0.0264,0.611,0.0,0.251,0.341,178.46200000000005,40.249590621396955,94
1,0.3,0.8059999999999999,0.0,0.102,0.0575,147.986,41.895568450163644,88
1,0.7509999999999999,0.501,0.0,0.105,0.0319,109.891,33.47180309378326,92
1,0.183,0.878,0.0,0.0714,0.0578,112.022,44.74687129550592,93
1,0.016,0.8220000000000001,0.0,0.127,0.28,84.459,44.7169100429588,92
1,0.295,0.8029999999999999,0.000134,0.0574,0.298,101.085,41.051850615107426,92
1,0.12300000000000001,0.784,0.0,0.0887,0.0364,127.087,44.54795023847968,83
1,0.256,0.787,3.57e-06,0.0904,0.158,110.962,42.05439157865556,93
1,0.3,0.815,4.83e-06,0.091,0.207,176.007,40.74288722100364,88
1,0.00285,0.667,8.1e-05,0.0736,0.0346,100.021,45.48352361078818,91
1,0.125,0.805,4.96e-06,0.14800000000000002,0.105,172.09400000000005,43.30668101474817,78
1,0.192,0.695,0.00244,0.0863,0.0395,120.042,42.843309428211214,93
1,0.021,0.86,6.54e-05,0.344,0.0695,97.014,44.573065945935504,92
1,0.46399999999999997,0.691,3.29e-06,0.203,0.111,174.021,37.13800566344753,89
1,0.017,0.9229999999999999,0.0,0.272,0.245,145.062,44.1069449623481,92
1,0.0847,0.841,0.0,0.149,0.0484,130.049,44.98354716110575,92
1,0.192,0.7759999999999999,1.49e-06,0.115,0.467,94.634,40.58308797182382,90
1,0.604,0.45899999999999996,0.0,0.0885,0.0573,111.881,35.0093547927704,84
1,0.0103,0.607,0.0,0.107,0.379,96.17200000000001,42.14543227995592,92
1,0.612,0.68,0.0,0.22399999999999998,0.0475,123.97,35.78742431540482,91
1,0.344,0.58,0.0,0.0755,0.0357,147.988,39.57049603479894,79
1,0.0319,0.7440000000000001,0.00011,0.11,0.294,180.00599999999997,42.90010600453938,85
1,0.007759999999999999,0.63,0.0,0.0541,0.0457,93.995,45.213886176221635,91
1,0.0237,0.6759999999999999,7.000000000000003e-06,0.102,0.0483,99.04799999999999,44.961946968536836,88
1,0.00775,0.638,0.0,0.126,0.0407,129.856,44.38335183236394,89
1,0.8370000000000001,0.764,0.0,0.0822,0.0546,91.01899999999999,34.964503632205364,91
1,0.0522,0.621,0.0,0.46,0.14800000000000002,116.735,40.219067313586585,92
1,0.0546,0.598,5.83e-06,0.21,0.0317,76.469,43.25607923508158,91
1,0.0392,0.759,0.0,0.0828,0.028999999999999998,116.96700000000001,45.648506640225726,83
1,0.067,0.795,0.0,0.15,0.48700000000000004,142.053,41.565540888161124,79
1,0.147,0.6809999999999999,0.0402,0.0735,0.0256,107.016,43.53553256402124,39
1,0.264,0.7140000000000001,6.09e-05,0.14800000000000002,0.0394,96.099,41.7712757461764,55
1,0.381,0.778,0.0304,0.117,0.0276,91.95,41.06952614328959,24
1,0.525,0.68,0.17,0.0967,0.0448,91.965,37.82333960337446,14
1,0.124,0.778,0.428,0.0733,0.0434,139.97899999999998,43.11293948017934,50
1,0.398,0.64,0.0,0.0854,0.0461,125.196,39.46068719660628,41
1,0.74,0.493,0.00316,0.101,0.0436,134.009,33.255390695788975,51
1,0.0564,0.679,0.00015800000000000002,0.368,0.0313,129.991,42.16378150218131,28
1,0.0889,0.659,1.05e-05,0.193,0.0274,124.932,43.06563598005226,38
1,0.628,0.625,0.69,0.0776,0.0333,120.026,34.28342507744844,31
1,0.422,0.6579999999999999,5.2e-05,0.0749,0.0321,74.038,39.980307889736494,78
1,0.578,0.721,1.18e-05,0.708,0.0468,99.979,32.850282821137654,52
1,0.723,0.212,0.0,0.299,0.0347,173.79,28.919025654984996,68
1,0.8809999999999999,0.522,8.69e-06,0.177,0.041,128.985,31.06197375479368,25
1,0.233,0.37,0.000122,0.314,0.033,80.648,37.80602642233211,39
1,0.0715,0.57,0.0,0.317,0.0281,101.54,41.66404884467776,39
1,0.26,0.7509999999999999,0.000174,0.251,0.03,99.977,41.344515175256525,29
1,0.381,0.583,1.3800000000000007e-05,0.329,0.0297,85.26299999999998,37.63932483680257,45
1,0.209,0.792,1.69e-06,0.22,0.042,120.051,42.396711579528315,24
1,0.652,0.388,3.72e-06,0.248,0.0328,177.78400000000005,31.916619697694234,81
1,0.65,0.5579999999999999,0.000134,0.171,0.0462,120.787,34.616313517377826,38
1,0.499,0.625,1.46e-05,0.104,0.0719,130.645,37.56408360277145,28
1,0.986,0.601,6.8e-05,0.182,0.0506,105.418,30.491954331959942,50
1,0.643,0.376,0.000239,0.132,0.0265,131.534,33.37671217767552,43
1,0.343,0.443,2.13e-05,0.154,0.104,151.994,37.13568005958731,30
1,0.574,0.8059999999999999,0.0,0.0981,0.0745,143.01,38.14496161378616,74
1,0.32899999999999996,0.9059999999999999,0.0,0.255,0.0746,99.99600000000001,41.504099757071415,77
1,0.00734,0.42,0.0156,0.20199999999999999,0.0375,78.775,42.19442438663955,72
1,0.21899999999999997,0.5870000000000001,0.0008349999999999999,0.12300000000000001,0.0262,111.97200000000001,41.34472551861201,68
1,0.813,0.505,0.0,0.0983,0.0345,81.93799999999997,32.97491891788478,75
1,0.142,0.652,0.00322,0.128,0.045,155.016,42.39727280115077,66
1,0.617,0.6759999999999999,0.0,0.35600000000000004,0.027999999999999997,112.01100000000001,34.84054955524555,81
1,0.6659999999999999,0.9620000000000001,5.7399999999999986e-05,0.17600000000000002,0.0554,130.003,37.964888291813246,72
1,0.24,0.649,0.0,0.0929,0.0455,149.918,41.38874360869802,78
1,0.0397,0.5479999999999999,0.0,0.35700000000000004,0.12300000000000001,120.009,40.708821872864476,70
1,0.267,0.7909999999999999,0.0,0.22699999999999998,0.0623,104.959,41.545047444415445,70
1,0.0932,0.725,2.33e-06,0.11199999999999999,0.055,82.96600000000002,44.50085432768422,59
1,0.0169,0.7240000000000001,3.5e-05,0.141,0.235,140.056,43.461460517932125,65
1,0.627,0.452,0.0,0.0645,0.0337,97.98700000000001,35.13229508109637,8
1,0.7490000000000001,0.728,0.0,0.0996,0.0622,130.02200000000002,35.24859671241995,94
1,0.016,0.8240000000000001,4.95e-05,0.11699999999999999,0.177,95.11399999999999,45.44546532449591,81
1,0.693,0.873,0.0017,0.10800000000000001,0.0646,100.037,37.55232912665442,76
1,0.643,0.599,1.57e-06,0.149,0.0314,113.82,35.44725130644409,81
1,0.172,0.945,0.00036,0.322,0.207,123.109,42.27679309967931,81
1,0.6509999999999999,0.9079999999999999,0.0,0.195,0.196,99.959,36.80068190480612,74
1,0.0229,0.65,0.0,0.121,0.0599,144.995,44.05008342248312,82
1,0.11900000000000001,0.5539999999999999,0.0,0.629,0.0395,115.056,38.073717749257476,81
1,0.493,0.747,0.000425,0.332,0.289,96.988,35.67408178619645,72
1,0.575,0.493,0.0,0.267,0.0366,152.03,33.99924932655233,69
1,0.491,0.746,0.00124,0.0863,0.054000000000000006,124.992,39.122621783749096,72
1,0.00231,0.67,1.7199999999999998e-05,0.3,0.0305,130.041,43.38208348911434,78
1,0.675,0.659,3.9200000000000004e-05,0.3,0.0343,127.962,34.163565779069955,72
1,0.816,0.856,0.0,0.0906,0.0408,121.77600000000001,35.837979955720435,75
1,0.423,0.86,1.85e-06,0.096,0.221,128.096,39.81536712798863,70
1,0.564,0.6409999999999999,0.0,0.114,0.139,77.005,36.7895657282631,46
1,0.336,0.8,0.00031099999999999997,0.184,0.0831,99.98899999999999,40.95054695344315,73
1,0.263,0.718,1.56e-06,0.228,0.205,129.582,39.66459871355958,76
1,0.884,0.629,0.0776,0.124,0.0424,76.994,32.70658156955825,85
1,0.34,0.7140000000000001,0.0,0.0801,0.444,78.032,38.61362283530307,68
