y,x,BIC,AIC,r_squared
['popularity'],['acousticness'],1168764.1490117926,1168744.4267827822,0.10718402618304257
['popularity'],"['acousticness', 'liveness']",1166543.768000803,1166514.184657287,0.12114350403869058
['popularity'],"['acousticness', 'liveness', 'valence']",1165326.2151029569,1165286.7706449358,0.12873830221771254
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability']",1163154.6855846003,1163105.380012074,0.14206494269405934
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness']",1161682.6481737837,1161623.4814867522,0.1510055955264099
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness']",1160672.5412133022,1160603.5134117655,0.15710882724674002
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Minor']",1160111.0160771909,1160032.1271611487,0.16051387734325562
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Minor', 'duration_ms']",1159877.0482695028,1159788.2982389554,0.16196951446380226
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Minor', 'duration_ms', 'n_time_signature_4/4']",1159766.8187530967,1159668.2076080441,0.16269151650776925
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Minor', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#']",1159690.373954039,1159581.9016944813,0.1632133396503035
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Minor', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#']",1159643.7522069043,1159525.4188328413,0.16355875142192433
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Minor', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#']",1159610.282075619,1159482.0875870506,0.16382638896046164
