y,x,r^2,RSS,BIC,AIC,adjusted_r^2
['popularity'],['acousticness'],0.10718402618304324,3814450.9837252274,1168764.1490117926,1168744.4267827822,0.10717772312211882
['popularity'],"['acousticness', 'liveness']",0.12114350403869045,2155619.520035386,1166543.768000803,1166514.184657287,0.12113109493018881
['popularity'],"['acousticness', 'liveness', 'valence']",0.12873830221771299,1527173.9052448422,1165326.2151029569,1165286.7706449358,0.12871984927803704
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability']",0.14206494269405923,1263947.1097278856,1163154.6855846003,1163105.380012074,0.14204071493996118
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness']",0.15100559552641046,1074793.442485659,1161682.6481737837,1161623.4814867522,0.15097562622292882
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness']",0.1571088272467398,931861.3696220896,1160672.5412133022,1160603.5134117655,0.15707312236166593
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major']",0.16051387734325584,816049.5273373856,1160111.0160771909,1160032.1271611487,0.160472389628746
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms']",0.16196951446380226,720518.7141468953,1159877.0482695028,1159788.2982389554,0.1619221818137625
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4']",0.16269151650776936,643316.0251852141,1159766.8187530967,1159668.2076080441,0.16263831277752772
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#']",0.1632133396503036,580841.4799822774,1159690.373954039,1159581.9016944813,0.16315426081888362
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#']",0.16355875142192433,529155.2062166665,1159643.7522069043,1159525.4188328413,0.16349379107417605
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#']",0.1638263889604612,485852.6598164281,1159610.282075619,1159482.0875870506,0.1637555453014421
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#', 'instrumentalness']",0.16399731582168708,448947.29541424604,1159593.1847722277,1159455.129169154,0.16392058367100282
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#', 'instrumentalness', 'n_key_B']",0.1641098892702405,417165.79210151784,1159585.970466275,1159438.053748696,0.1640272651903858
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#', 'instrumentalness', 'n_key_B', 'energy']",0.16418971620143696,389544.1306478421,1159584.3034571407,1159426.5256250566,0.1641011982307734
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#', 'instrumentalness', 'n_key_B', 'energy', 'tempo']",0.16426013627026492,365354.2537398143,1159584.2295390416,1159416.5905924523,0.16416572439012633
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#', 'instrumentalness', 'n_key_B', 'energy', 'tempo', 'n_key_E']",0.16429952347504362,343945.2803814472,1159589.4147376632,1159411.9146765685,0.16419921487175548
['popularity'],"['acousticness', 'liveness', 'valence', 'danceability', 'loudness', 'speechiness', 'n_mode_Major', 'duration_ms', 'n_time_signature_4/4', 'n_key_F#', 'n_key_C#', 'n_key_G#', 'instrumentalness', 'n_key_B', 'energy', 'tempo', 'n_key_E', 'n_time_signature_5/4']",0.1643330682965345,324903.530842582,1159595.5899402124,1159408.2287646125,0.16422686270050924
